2024-06-14 08:26:00:    Browser started successfully
2024-06-14 08:26:07:    Login with username standard_user and password secret_sauce successfully.
2024-06-14 08:26:07:    Test: adding items to cart
2024-06-14 08:26:07:    Sauce Labs Bike Light added to shopping cart.
2024-06-14 08:26:07:    Sauce Labs Bolt T-Shirt added to shopping cart.
2024-06-14 08:26:07:    Sauce Labs Onesie added to shopping cart.
2024-06-14 08:26:07:    3 items are all added to shopping cart successfully.
2024-06-14 08:26:08:    Sauce Labs Bike Light removed from shopping cart.
2024-06-14 08:26:08:    Sauce Labs Bolt T-Shirt removed from shopping cart.
2024-06-14 08:26:08:    Sauce Labs Onesie removed from shopping cart.
2024-06-14 08:26:08:    3 items are all removed from shopping cart successfully.
2024-06-14 08:26:08:    Test: adding items to cart for check out
2024-06-14 08:26:08:    Sauce Labs Bike Light added to shopping cart.
2024-06-14 08:26:08:    Sauce Labs Bolt T-Shirt added to shopping cart.
2024-06-14 08:26:08:    Sauce Labs Onesie added to shopping cart.
2024-06-14 08:26:08:    3 items are all added to shopping cart successfully ready checkout.
2024-06-14 08:26:10:    Thank you for your order! .Your order has been dispatched, and will arrive just as fast as the pony can get there!
2024-06-14 08:26:10:    Selenium tests are all successfully completed!
